dyad,speaker,session,sentence,duration(s),size(K),file_name
6768,68,main50,11,6.2,534.32,SK0708_8_main50_11_mono.wav
6970,69,main50,6,9.2,792.29,SK0910_9_main50_6_mono.wav
7172,72,main50,35,5.26,453.19,SK1112_12_main50_35_mono.wav
7576,75,main50,64,5.1,438.97,SK1516_15_main50_64_mono.wav
6768,67,main50,8,6.25,538.2,SK0708_7_main50_8_mono.wav
7374,74,main50,73,6.28,541.3,SK1314_14_main50_73_mono.wav
6970,69,main50,40,5.75,495.13,SK0910_9_main50_40_mono.wav
6162,62,main50,41,5.45,469.12,SK0102_2_main50_41_mono.wav
6364,63,main50,2,6.32,544.66,SK0304_3_main50_2_mono.wav
7980,80,main50,63,3.57,307.54,SK1920_20_main50_63_mono.wav
6970,70,main50,73,5.57,480.15,SK0910_10_main50_73_mono.wav
7172,71,main50,16,5.49,473.34,SK1112_11_main50_16_mono.wav
6768,67,main50,14,9.64,830.19,SK0708_7_main50_14_mono.wav
6566,65,main50,10,5.91,509.17,SK0506_5_main50_10_mono.wav
6364,64,main50,71,6.53,562.32,SK0304_4_main50_71_mono.wav
7778,78,main50,25,7.07,608.66,SK1718_18_main50_25_mono.wav
6162,62,main50,75,7.01,603.66,SK0102_2_main50_75_mono.wav
7980,80,main50,57,5.43,467.57,SK1920_20_main50_57_mono.wav
7576,75,main50,50,4.14,356.2,SK1516_15_main50_50_mono.wav
6970,69,main50,74,6.21,534.84,SK0910_9_main50_74_mono.wav
7374,74,main50,47,6.0,516.5,SK1314_14_main50_47_mono.wav
6566,65,main50,24,5.77,496.94,SK0506_5_main50_24_mono.wav
6364,64,main50,45,6.75,581.78,SK0304_4_main50_45_mono.wav
7778,78,main50,11,8.76,754.48,SK1718_18_main50_11_mono.wav
6566,65,main50,2,5.42,467.05,SK0506_5_main50_2_mono.wav
6970,70,main50,47,7.8,671.62,SK0910_10_main50_47_mono.wav
7172,71,main50,22,4.6,396.17,SK1112_11_main50_22_mono.wav
6768,67,main50,20,5.35,460.42,SK0708_7_main50_20_mono.wav
6566,66,main50,5,5.75,495.39,SK0506_6_main50_5_mono.wav
7576,76,main50,73,5.55,478.17,SK1516_16_main50_73_mono.wav
6162,61,main50,56,9.0,775.58,SK0102_1_main50_56_mono.wav
6768,68,main50,25,4.91,422.96,SK0708_8_main50_25_mono.wav
7778,77,main50,14,7.17,617.19,SK1718_17_main50_14_mono.wav
6768,67,main50,68,7.3,628.55,SK0708_7_main50_68_mono.wav
7576,75,main50,4,6.34,545.78,SK1516_15_main50_4_mono.wav
7778,78,main50,59,7.85,676.1,SK1718_18_main50_59_mono.wav
7980,79,main50,22,3.65,314.34,SK1920_19_main50_22_mono.wav
7576,75,main50,18,7.69,662.49,SK1516_15_main50_18_mono.wav
7374,73,main50,6,7.78,670.5,SK1314_13_main50_6_mono.wav
7172,72,main50,49,5.95,512.79,SK1112_12_main50_49_mono.wav
6364,63,main50,26,9.6,826.92,SK0304_3_main50_26_mono.wav
7374,73,main50,24,5.28,454.48,SK1314_13_main50_24_mono.wav
7576,76,main50,3,4.24,365.25,SK1516_16_main50_3_mono.wav
6970,70,main50,79,8.63,743.2,SK0910_10_main50_79_mono.wav
7980,80,main50,5,5.06,435.96,SK1920_20_main50_5_mono.wav
7980,79,main50,54,5.29,455.94,SK1920_19_main50_54_mono.wav
6768,67,main50,2,7.59,654.14,SK0708_7_main50_2_mono.wav
7374,74,main50,79,7.46,643.02,SK1314_14_main50_79_mono.wav
7980,80,main50,69,5.68,489.11,SK1920_20_main50_69_mono.wav
6364,63,main50,8,6.45,555.34,SK0304_3_main50_8_mono.wav
